Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
0.695000,0.983619,0.976052,0.978410,0.981568,0.996890,0.992983,0.984762,0.985111,0.003368,0.003419,-0.001492,-0.001515,-0.442993
0.700000,0.988320,0.982435,0.984292,0.986746,0.997980,0.995253,0.989189,0.989316,0.002513,0.002540,-0.000996,-0.001007,-0.396339
0.705000,0.991906,0.987485,0.988897,0.990740,0.998721,0.996875,0.992545,0.992544,0.001817,0.001831,-0.000638,-0.000643,-0.351128
0.710000,0.994553,0.991344,0.992381,0.993717,0.999212,0.997999,0.995006,0.994943,0.001273,0.001279,-0.000390,-0.000392,-0.306363
0.715000,0.996440,0.994192,0.994926,0.995862,0.999527,0.998754,0.996752,0.996669,0.000863,0.000866,-0.000229,-0.000230,-0.265353
0.720000,0.997743,0.996220,0.996723,0.997356,0.999724,0.999246,0.997950,0.997870,0.000567,0.000568,-0.000127,-0.000127,-0.223986
0.725000,0.998611,0.997616,0.997948,0.998361,0.999843,0.999556,0.998744,0.998678,0.000360,0.000360,-0.000067,-0.000067,-0.186111
0.730000,0.999171,0.998543,0.998754,0.999015,0.999913,0.999747,0.999254,0.999204,0.000222,0.000222,-0.000033,-0.000033,-0.148649
0.735000,0.999521,0.999137,0.999267,0.999426,0.999953,0.999859,0.999570,0.999535,0.000132,0.000132,-0.000014,-0.000014,-0.106061
0.740000,0.999731,0.999505,0.999583,0.999676,0.999975,0.999924,0.999760,0.999737,0.000076,0.000076,-0.000006,-0.000006,-0.078947
0.745000,0.999854,0.999725,0.999770,0.999823,0.999987,0.999960,0.999870,0.999856,0.000042,0.000042,-0.000002,-0.000002,-0.047619
0.750000,0.999923,0.999852,0.999877,0.999906,0.999994,0.999980,0.999932,0.999923,0.000023,0.000023,0.000000,0.000000,0.000000
